"State","County","Hospital Type","Hospital","Licensed Beds","Staffed Beds","ICU Beds","Bed Utilization"
"California","Glenn","Critical Access Hospital","Glenn Medical Center",47,15,3,1
"Delaware","New Castle","Psychiatric Hospital","MeadowWood Behavioral Health Hospital",120,100,0,1
"Florida","Broward","Psychiatric Hospital","South Florida State Hospital",350,49,0,1
"Florida","Herdo","Psychiatric Hospital","Springbrook Hospital",66,66,0,1
"Hawaii","Hawaii","Critical Access Hospital","Kau Hospital",21,8,1,1
"Indiana","Tippecanoe","Psychiatric Hospital","Sycamore Springs",48,48,0,1
"Kansas","Rush","Critical Access Hospital","Rush County Memorial Hospital",25,16,3,1
"Louisiana","Jefferson","Psychiatric Hospital","Oceans Behavioral Hospital Greater New Orleans - Kenner",30,46,0,1
"Michigan","Washtenaw","Psychiatric Hospital","Center for Forensic Psychiatry",240,240,0,1
"Mississippi","Tallahatchie","Critical Access Hospital","Tallahatchie General Hospital (AKA Tallahatchie Critical Access Hospital)",18,9,2,1
"Missouri","St. Louis City","Psychiatric Hospital","St Louis Psychiatric Rehabilitation Center",180,180,0,1
"Montana","Deer Lodge","Psychiatric Hospital","Montana State Hospital",174,174,0,1
"Nebraska","Adams","Psychiatric Hospital","Hastings Regional Center",30,30,0,1
"North Carolina","Granville","Psychiatric Hospital","Central Regional Hospital",338,338,0,1
"Texas","Howard","Psychiatric Hospital","Big Spring State Hospital",144,144,0,1
"Utah","Millard","Critical Access Hospital","Fillmore Community Hospital (FKA Fillmore Community Medical Center)",19,7,3,1
"West Virginia","Lewis","Psychiatric Hospital","William R Sharpe Jr Hospital",150,150,0,1
"Louisiana","East Feliciana","Psychiatric Hospital","Eastern Louisiana Mental Health System (AKA East Lousiana State Hospital)",334,334,0,0.9992
"New York","Albany","Psychiatric Hospital","Capital District Psychiatric Center",105,105,0,0.9992
"Oklahoma","Oklahoma","Short Term Acute Care Hospital","Oklahoma Heart Hospital South",44,44,8,0.9985
"Georgia","DeKalb","Psychiatric Hospital","Georgia Regional Hospital-Atlanta",334,114,0,0.994
"Alabama","Mobile","Long Term Acute Care Hospital","Infirmary LTAC Hospital",31,22,5,0.9929
"Arizona","Maricopa","Psychiatric Hospital","Copper Springs",72,72,0,0.9919
"New York","Orange","Psychiatric Hospital","Mid-Hudson Forensic Psychiatric Center",285,285,0,0.9906
"Missouri","Bucha","Psychiatric Hospital","Northwest Missouri Psychiatric Rehabilitation Center",108,108,0,0.9902
"New York","New York City","Short Term Acute Care Hospital","The Specialty Hospital at Terence Cardinal Cooke Health Care Center (AKA ArchCare)",56,56,9,0.9901
"Massachusetts","Bristol","Psychiatric Hospital","Taunton State Hospital",45,45,0,0.9893
"Texas","Kerr","Psychiatric Hospital","Kerrville State Hospital",218,218,0,0.9878
"Florida","Martin","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital at Martin Health (FKA HealthSouth Rehabilitation Hospital at Martin Health)",64,64,0,0.9864
"New York","Bronx","Psychiatric Hospital","Bronx Psychiatric Center",156,156,0,0.9829
"Alabama","Houston","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital of Dothan (FKA Healthsouth Rehab Dothan)",51,51,0,0.9793
"Connecticut","Fairfield","Psychiatric Hospital","Greater Bridgeport Community Mental Health Center",62,62,0,0.9788
"Mississippi","Harrison","Rehabilitation Hospital","Encompass Health Rehabilitation Hospital - Partner of Memorial Hospital at Gulfport (FKA HealthSouth Rehabilitation Hospital of Gulfport)",33,33,0,0.9786
"Ohio","Hamilton","Psychiatric Hospital","Summit Behavioral Healthcare Hospital",291,291,0,0.9782
"Missouri","St. Louis City","Psychiatric Hospital","Metropolitan St Louis Psychiatric Center",50,50,0,0.9778
"Florida","Miami-Dade","Rehabilitation Hospital","West Gables Rehabilitation Hospital",60,60,0,0.9777
"New York","Suffolk","Psychiatric Hospital","Pilgrim Psychiatric Center",273,273,0,0.9773
"Delaware","New Castle","Psychiatric Hospital","Rockford Center",138,137,2,0.9768
"Missouri","Jackson","Psychiatric Hospital","Center for Behavioral Medicine (FKA Western Missouri Mental Health Center)",65,65,0,0.9753
"Texas","Lubbock","Rehabilitation Hospital","South Plains Rehabilitation Hospital",40,40,0,0.9742
